Name,Solved,Comments
Admirer,No,
Bashed,No,
Beep,No,
Bitlab,No,
Blocky,No,
Blunder,No,
Book ,No,
Brainfuck,No,
Cronos,No,
Delivery,No,
Devops,No,
Doctor,No,
Falafel,No,
Friendzone,No,
Frolic,No,
Haircut,No,
Hawk ,No,
Irked,No,
Jail,No,
Jarvis,No,
Kotarak ,No,
La Casa De Papel ,No,
Lightweight,No,
Luanne,No,
Magic,No,
Mango,No,
Mango ,No,
Mirai,No,
Networked,No,
Nibbles,No,
Nineveh,No,
Node,No,
October ,No,
Openadmin,No,
Ophiuchi,No,
Passage,No,
Poison,No,
Popcorn,No,
Postman,No,
Quick,No,
Ready ,No,
Ready,No,
Safe ,No,
Sense,No,
Shocker,No,
Sneakymailer,No,
Solidstate,No,
Sunday,No,
Swagshop,No,
Tabby,No,
Tartarsauce,No,
Time ,No,
Time,No,
Traverxec,No,
Valentine,No,